"","Treat","Mean","Sd","Sem","N","Variable","pval","Stars","variable"
"value","CK
n=4",3793.732766,125.803294639734,62.9016473198669,4,"value","","","Total CHCs"
"value1","VDRC
n=5",2290.6201974,309.98318967721,138.628696800091,5,"value","7.37776802095524e-07","****","Total CHCs"
"value2","Hnf4
n=3",1394.970036,216.165699210972,124.803324629019,3,"value","1.26380878973098e-05","****","Total CHCs"
"value3","CK
n=4",644.383389475,66.6743282695572,33.3371641347786,4,"value","","","X7 11.HD"
"value11","VDRC
n=5",385.24431788,49.2563155402252,22.0280939738246,5,"value","7.56416402803994e-05","****","X7 11.HD"
"value21","Hnf4
n=3",292.273707266667,76.4159566455677,44.1187731397013,3,"value","0.000291799972384821","***","X7 11.HD"
"value4","CK
n=4",344.131829775,54.6196223558693,27.3098111779346,4,"value","","","X7 11.ND"
"value12","VDRC
n=5",145.70713656,15.5756057296839,6.96562264046169,5,"value","3.670635374875e-06","****","X7 11.ND"
"value22","Hnf4
n=3",68.2525609033333,10.415583137482,6.01343972819217,3,"value","1.91770189386098e-05","****","X7 11.ND"
